time,phiDeg,thetaDeg,psiDeg,omegaX,omegaY,omegaZ,wheel1,wheel2,wheel3,wheel4,uX,uY,uZ
619,-0.58242795092583,-0.273227817102991,0.205292371408277,2.51792737643041e-05,1.20909039798894e-05,-9.27359684363907e-06,8.65845049067202e-05,2.18501261870282e-05,-5.90461646606866e-05,2.8514444389991e-05,-0.000103047327048624,-3.83129483289316e-05,4.25833425187832e-05
620,-0.580984683621109,-0.272541316592223,0.204768596236017,2.51147165928883e-05,1.20591054579269e-05,-9.24916312739302e-06,8.65160750021667e-05,2.17524073872973e-05,-5.89638761634347e-05,2.84660276768865e-05,-0.000102950943744176,-3.81872761293071e-05,4.25290074214249e-05
621,-0.579545121545885,-0.271856607841366,0.204246183911266,2.50503802796319e-05,1.20274153458922e-05,-9.22481382599849e-06,8.64481806874695e-05,2.16554568518125e-05,-5.88826159192782e-05,2.84177700820976e-05,-0.000102855187894137,-3.80624640584804e-05,4.24756087126103e-05
622,-0.578109252031012,-0.271173684810484,0.203725129807779,2.49862628626651e-05,1.1995832866571e-05,-9.20054829150801e-06,8.63808133693646e-05,2.15592661108011e-05,-5.88023709437575e-05,2.83696692508567e-05,-0.000102760049548167,-3.79385022896038e-05,4.24231347649547e-05
623,-0.576677062519441,-0.270492541502827,0.203205429334733,2.49223624089387e-05,1.19643572517203e-05,-9.1763658842287e-06,8.63139645567662e-05,2.14638267641172e-05,-5.87231283853656e-05,2.83217228508276e-05,-0.000102665518868605,-3.78153810759565e-05,4.23715740735263e-05
624,-0.575248540564572,-0.269813171964339,0.202687077936276,2.48586770138734e-05,1.19329877419944e-05,-9.1522659726356e-06,8.62476258602973e-05,2.13691304819037e-05,-5.86448755255458e-05,2.82739285722181e-05,-0.000102571586132516,-3.76930907541221e-05,4.23209152533274e-05
625,-0.573823673828635,-0.269135570283154,0.202170071091082,2.47952048010361e-05,1.19017235868692e-05,-9.12824793328785e-06,8.61817889921003e-05,2.12751690051703e-05,-5.85675997788112e-05,2.82262841279355e-05,-0.000102478241731587,-3.75716217446567e-05,4.22711470393248e-05
626,-0.572402450081069,-0.268459730589111,0.201654404311903,2.47319439218078e-05,1.18705640445667e-05,-9.10431115074486e-06,8.6116445765521e-05,2.11819341463425e-05,-5.84912886927987e-05,2.81787872536896e-05,-0.000102385476171876,-3.74509645526974e-05,4.22222582864438e-05
627,-0.570984857196944,-0.267785647053263,0.201140073145133,2.46688925550477e-05,1.18395083819783e-05,-9.0804550174812e-06,8.60515880947097e-05,2.10894177897502e-05,-5.84159299482031e-05,2.81314357080829e-05,-0.000102293280073462,-3.73311097685025e-05,4.21742379694508e-05
628,-0.569570883155384,-0.267113313887394,0.200627073170372,2.46060489067848e-05,1.18085558745895e-05,-9.05667893380027e-06,8.59872079944499e-05,2.09976118920881e-05,-5.83415113586904e-05,2.80842272728268e-05,-0.000102201644170312,-3.72120480679498e-05,4.21270751828287e-05
629,-0.568160516038014,-0.266442725343543,0.200115399999998,2.45434112098606e-05,1.17777058063991e-05,-9.03298230775291e-06,8.59232975795301e-05,2.09065084827839e-05,-5.82680208708246e-05,2.80371597526351e-05,-0.000102110559310026,-3.70937702132803e-05,4.20807591403282e-05
630,-0.566753744027431,-0.265773875713526,0.199605049278744,2.44809777236225e-05,1.17469574698425e-05,-9.00936455505065e-06,8.58598490645172e-05,2.0816099664352e-05,-5.8195446563861e-05,2.79902309754157e-05,-0.000102020016452853,-3.69762670526881e-05,4.20352791755249e-05
631,-0.565350555405691,-0.265106759328469,0.19909601668327,2.44187467335876e-05,1.17163101657147e-05,-8.98582509898218e-06,8.57968547632191e-05,2.07263776127917e-05,-5.81237766495587e-05,2.79434387922985e-05,-0.000101930006672036,-3.68595295216091e-05,4.19906247407414e-05
632,-0.563950938552807,-0.264441370558339,0.198588297921758,2.43567165511168e-05,1.16857632030886e-05,-8.96236337032855e-06,8.57343070882478e-05,2.06373345777726e-05,-5.80529994718946e-05,2.78967810776558e-05,-0.000101840521152956,-3.67435486424813e-05,4.1946785407186e-05
633,-0.562554881945279,-0.263777703811486,0.198081888733491,2.42948855130984e-05,1.16553158992407e-05,-8.93897880727912e-06,8.56721985505786e-05,2.05489628830157e-05,-5.79831035068125e-05,2.78502557292123e-05,-0.000101751551192839,-3.66283155252763e-05,4.19037508645518e-05
634,-0.561162374154633,-0.263115753534182,0.197576784888451,2.4233251981625e-05,1.16249675795649e-05,-8.91567085534875e-06,8.56105217591147e-05,2.04612549262923e-05,-5.79140773618998e-05,2.780386066798e-05,-0.000101663088200284,-3.65138213674614e-05,4.18615109207307e-05
635,-0.559773403845982,-0.262455514210173,0.197072982186919,2.41718143436393e-05,1.15947175775019e-05,-8.89243896729031e-06,8.55492694197342e-05,2.03742031799522e-05,-5.7845909775859e-05,2.77575938383179e-05,-0.000101575123694343,-3.64000574545614e-05,4.18200555012498e-05
636,-0.558387959776606,-0.261796980360227,0.196570476459071,2.41105710106631e-05,1.15645652344512e-05,-8.86928260301627e-06,8.54884343353629e-05,2.02878001906993e-05,-5.77785896183572e-05,2.77114532079315e-05,-0.000101487649304598,-3.62870151599343e-05,4.17793746491223e-05
637,-0.557006030794548,-0.261140146541691,0.196069263564593,2.40495204184474e-05,1.15345098996948e-05,-8.84620122951163e-06,8.54280094050265e-05,2.02020385798957e-05,-5.77121058893917e-05,2.76654367678675e-05,-0.000101400656768546,-3.61746859434154e-05,4.1739458525872e-05
